state,code,population
Alabama,AL,4.9
Alaska,AK,0.73
Arizona,AZ,7.28
Arkansas,AR,3.02
California,CA,39.51
Colorado,CO,5.76
Connecticut,CT,3.57
Delaware,DE,0.97
Florida,FL,21.48
Georgia,GA,10.62
Hawaii,HI,1.42
Idaho,ID,1.79
Illinois,IL,12.67
Indiana,IN,6.73
Iowa,IA,3.16
Kansas,KS,2.91
Kentucky,KY,4.47
Louisiana,LA,4.65
Maine,ME,1.34
Maryland,MD,6.05
Massachusetts,MA,6.89
Michigan,MI,9.99
Minnesota,MN,5.64
Mississippi,MS,2.98
Missouri,MO,6.63
Montana,MT,1.07
Nebraska,NE,1.93
Nevada,NV,3.08
New Hampshire,NH,1.36
New Jersey,NJ,8.88
New Mexico,NM,2.1
New York,NY,23.63
North Carolina,NC,10.49
North Dakota,ND,0.76
Ohio,OH,11.69
Oklahoma,OK,3.96
Oregon,OR,4.22
Pennsylvania,PA,12.8
Rhode Island,RI,1.06
South Carolina,SC,5.15
South Dakota,SD,0.88
Tennessee,TN,6.83
Texas,TX,29.0
Utah,UT,3.21
Vermont,VT,0.62
Virginia,VA,8.54
Washington,WA,7.61
West Virginia,WV,1.79
Wisconsin,WI,5.82
Wyoming,WY,0.58
District of Columbia,DC,0.71
Puerto Rico,PR,3.194
Guam,GU,0.165
Virgin Islands,VI,0.106
Northern Mariana Islands,MP,0.054000000000000006
American Samoa,AS,0.055
